District,Petrol Price,Change
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.43
"Oct 15, 2025",102.57 ₹/L,- 0.03
"Oct 14, 2025",102.54 ₹/L,+ 0.09
"Oct 13, 2025",102.63 ₹/L,  0.00
"Oct 12, 2025",102.63 ₹/L,- 0.06
"Oct 11, 2025",102.57 ₹/L,  0.00
"Oct 10, 2025",102.57 ₹/L,+ 0.06
"Oct 09, 2025",102.63 ₹/L,- 0.45
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.73
"Oct 15, 2025",102.27 ₹/L,- 0.62
"Oct 14, 2025",101.65 ₹/L,+ 0.54
"Oct 13, 2025",102.19 ₹/L,  0.00
"Oct 12, 2025",102.19 ₹/L,- 1.01
"Oct 11, 2025",101.18 ₹/L,+ 1.44
"Oct 10, 2025",102.62 ₹/L,- 0.96
"Oct 09, 2025",101.66 ₹/L,- 0.10
